Z,ion_charge,nele,parent_config,level_config,J,parity,term,level_meV,level_eV,has_nist_level,parent_config_id,element,E_nist_hartree,E_fac_hartree,E_pinn_hartree,ΔE_PINN_meV,ΔE_FAC_meV,ΔE_PINN_FAC_meV,E_nist_meV
1,0,1,1s1,1s1,0.5,0,2S,0.0,0.0,True,28115158,H,-0.5,-0.500005926820653,-0.2384544461965561,7117.017085466348,-0.1612770060004331,7117.178362472348,-13605.693122994
1,0,1,1s1,2s1,0.5,0,2S,10204.2698422455,10.2042698422455,True,28115158,H,-0.125,-0.12500197818850586,-0.1153922826051712,261.43930897298395,-0.05382925150042284,261.49313822448437,-3401.4232807485
1,0,1,1s1,3s1,0.5,0,2S,12093.949442661333,12.093949442661334,True,28115158,H,-0.05555555555555555,-0.05555626554023472,-0.03883891925215721,454.8828471854773,-0.019319667333522864,454.9021668528108,-1511.7436803326666
1,0,1,1s1,4s1,0.5,0,2S,12755.337302806875,12.755337302806874,True,28115158,H,-0.03125,-0.031223995107021448,-0.07680447399616241,-1239.600387142392,0.707629187124955,-1240.3080163295167,-850.355820187125
1,0,1,1s1,5s1,0.5,0,2S,13061.465398074239,13.061465398074239,True,28115158,H,-0.02,-0.020000190805429502,0.06476663798093796,2306.6177268731394,-0.005192080239996359,2306.622918953379,-544.22772491976
1,0,1,1s1,6s1,0.5,0,2S,13227.757202910832,13.227757202910832,True,28115158,H,-0.013888888888888888,-0.013889009092865407,-0.029365884140133858,-421.15049570894894,-0.0032709168333619077,-421.1472247921156,-377.93592008316665
1,0,1,1s1,7s1,0.5,0,2S,13328.025916402286,13.328025916402286,True,28115158,H,-0.01020408163265306,-0.010204165436111846,-0.06042664870619774,-1366.6256709032634,-0.002280408285756394,-1366.623390494978,-277.66720659171426
1,0,1,1s1,8s1,0.5,0,2S,13393.104167947218,13.393104167947218,True,28115158,H,-0.0078125,-0.007812563060117675,-0.09585621953010559,-2395.7916586671404,-0.0017159532187589971,-2395.789942713922,-212.58895504678125
1,0,1,1s1,9s1,0.5,0,2S,13437.721602957037,13.437721602957037,True,28115158,H,-0.006172839506172839,-0.006172889336895346,-0.0850440263748169,-2146.1943295621704,-0.001355963037044789,-2146.192973599133,-167.97152003696294
1,0,1,1s1,10s1,0.5,0,2S,13469.63619176406,13.46963619176406,True,28115158,H,-0.005,-0.005000041408035953,-0.10826775431632996,-2810.058749457449,-0.001126770060010808,-2810.057622687389,-136.05693122994
2,1,1,1s1,1s1,0.5,0,2S,0.0,0.0,True,28115158,He,-2.0,-2.0001040413008884,-1.9098824262619019,2452.2241065386934,-2.8311080240084614,2455.0552145627016,-54422.772491976
2,1,1,1s1,2s1,0.5,0,2S,40817.079368982,40.817079368982,True,28115158,He,-0.5,-0.5000329338975199,-0.4086969196796417,2484.483384045735,-0.8961770059999076,2485.379561051735,-13605.693122994
2,1,1,1s1,3s1,0.5,0,2S,48375.79777064533,48.375797770645335,True,28115158,He,-0.2222222222222222,-0.22223395476191893,-0.2591860294342041,-1005.8364351674761,-0.31925866933378805,-1005.5171764981424,-6046.974721330666
2,1,1,1s1,4s1,0.5,0,2S,51021.3492112275,51.021349211227495,True,28115158,He,-0.125,-0.12489987717921201,-0.13500778377056122,-272.32566964707144,2.724480748499759,-275.0501503955712,-3401.4232807485
