Z,level_config,E_nist_hartree,E_pinn_hartree,E_fac_hartree,ΔE_PINN_meV,ΔE_FAC_meV
26,1s1,-338.0,-329.46356201171875,-341.09582937431117,232288.3112640459,-84241.80885605648
25,1s1,-312.5,-305.35858154296875,-315.14266831093005,194327.895978505,-71910.66812875026
24,1s1,-288.0,-282.0084228515625,-290.241594037292,163039.1200087682,-60996.88115545556
23,1s1,-264.5,-259.5713806152344,-266.388299532838,134114.56573832117,-51383.24793617365
22,1s1,-242.0,-237.91554260253906,-243.57880264101715,111143.7478475925,-42961.40847090356
21,1s1,-220.5,-217.0042724609375,-221.8092296157789,95123.59227616679,-35625.95275964583
20,1s1,-200.0,-196.94273376464844,-201.07594521417363,83192.45238696902,-29277.9608024009
19,1s1,-180.5,-177.81582641601562,-181.37544097841317,73040.08414507673,-23821.962599166323
18,1s1,-162.0,-159.62794494628906,-162.70446790092404,64546.906263276134,-19169.548149944567
17,1s1,-144.5,-142.46356201171875,-145.05997431799275,55414.300665123876,-15237.677454734545
