Z,ion_charge,nele,parent_config,level_config,J,parity,term,level_meV,level_eV,has_nist_level,parent_config_id,element,E_nist_hartree,E_fac_hartree,E_pinn_hartree,ΔE_PINN_meV,ΔE_FAC_meV,ΔE_PINN_FAC_meV,E_nist_meV
1,0,1,1s1,1s1,0.5,0,2S,0.0,0.0,True,28115158,H,-0.5,-0.500005926820653,-0.46413901448249817,975.8271280785242,-0.1612770060004331,975.9884050845246,-13605.693122994
1,0,1,1s1,2s1,0.5,0,2S,10204.2698422455,10.2042698422455,True,28115158,H,-0.125,-0.12500197818850586,-0.09284918010234833,874.8683783601961,-0.05382925150042284,874.9222076116964,-3401.4232807485
1,0,1,1s1,3s1,0.5,0,2S,12093.949442661333,12.093949442661334,True,28115158,H,-0.05555555555555555,-0.05555626554023472,-0.06850873678922653,-352.4740176637044,-0.019319667333522864,-352.45469799637084,-1511.7436803326666
1,0,1,1s1,4s1,0.5,0,2S,12755.337302806875,12.755337302806874,True,28115158,H,-0.03125,-0.031223995107021448,-0.02976570650935173,40.38968347643584,0.707629187124955,39.68205428931089,-850.355820187125
1,0,1,1s1,5s1,0.5,0,2S,13061.465398074239,13.061465398074239,True,28115158,H,-0.02,-0.020000190805429502,-0.017293818295001984,73.63895562652739,-0.005192080239996359,73.64414770676738,-544.22772491976
1,0,1,1s1,6s1,0.5,0,2S,13227.757202910832,13.227757202910832,True,28115158,H,-0.013888888888888888,-0.013889009092865407,-0.012493743561208248,37.96383838080339,-0.0032709168333619077,37.96710929763675,-377.93592008316665
1,0,1,1s1,7s1,0.5,0,2S,13328.025916402286,13.328025916402286,True,28115158,H,-0.01020408163265306,-0.010204165436111846,-0.02703949064016342,-458.11481711255,-0.002280408285756394,-458.1125367042642,-277.66720659171426
1,0,1,1s1,8s1,0.5,0,2S,13393.104167947218,13.393104167947218,True,28115158,H,-0.0078125,-0.007812563060117675,-0.020052403211593628,-333.0647339041832,-0.0017159532187589971,-333.0630179509644,-212.58895504678125
1,0,1,1s1,9s1,0.5,0,2S,13437.721602957037,13.437721602957037,True,28115158,H,-0.006172839506172839,-0.006172889336895346,-0.00956752523779869,-92.37410462701541,-0.001355963037044789,-92.37274866397837,-167.97152003696294
1,0,1,1s1,10s1,0.5,0,2S,13469.63619176406,13.46963619176406,True,28115158,H,-0.005,-0.005000041408035953,-0.04275701940059662,-1027.420838406897,-0.001126770060010808,-1027.4197116368368,-136.05693122994
2,1,1,1s1,1s1,0.5,0,2S,0.0,0.0,True,28115158,He,-2.0,-2.0001040413008884,-2.0042853355407715,-116.60992059359272,-2.8311080240084614,-113.77881256958426,-54422.772491976
2,1,1,1s1,2s1,0.5,0,2S,40817.079368982,40.817079368982,True,28115158,He,-0.5,-0.5000329338975199,-0.47461116313934326,690.8654461517079,-0.8961770059999076,691.7616231577078,-13605.693122994
2,1,1,1s1,3s1,0.5,0,2S,48375.79777064533,48.375797770645335,True,28115158,He,-0.2222222222222222,-0.22223395476191893,-0.18943320214748383,892.2346898811605,-0.31925866933378805,892.5539485504943,-6046.974721330666
2,1,1,1s1,4s1,0.5,0,2S,51021.3492112275,51.021349211227495,True,28115158,He,-0.125,-0.12489987717921201,-0.1312132179737091,-169.0702741131134,2.724480748499759,-171.79475486161317,-3401.4232807485
2,1,1,1s1,5s1,0.5,0,2S,52245.861592296955,52.245861592296954,True,28115158,He,-0.08,-0.08008717822383304,-0.08599864691495895,-163.23149815625237,-2.3722403209601195,-160.85925783529225,-2176.91089967904
2,1,1,1s1,6s1,0.5,0,2S,52911.02881164333,52.91102881164333,True,28115158,He,-0.05555555555555555,-0.05560604874450641,-0.060497745871543884,-134.48384958953997,-1.3739896673335208,-133.10985992220645,-1511.7436803326666
