Z,N,PINN_mean_meV,PINN_max_abs_meV,PINN_rmse_meV,FAC_mean_meV,FAC_max_abs_meV,FAC_rmse_meV
1,10,-26.076052779186305,1027.420838406897,568.796477559889,0.0458261170615647,0.707629187124955,0.23023229282544974
2,10,-99.06332537670316,1156.7807277315098,545.0861361810978,-0.7219284317542256,2.8311080240084614,1.5874268856999305
3,10,29.87432034790433,741.5903399094179,454.5227468050273,-2.3798150464455765,14.543893054006757,5.334250155448278
4,10,140.8748399939434,1061.9626996397228,591.8313145655578,-8.285284527016966,46.184032096030364,16.189013200276374
5,10,331.4004880261033,1121.8530916348088,646.958748948473,-23.799967573462506,112.98292515004266,39.735064897190135
6,10,548.6201591414025,3107.3488131471663,1151.4251400704222,-43.30642918577597,234.57057221595244,80.17177914172987
7,10,749.4086514138513,5044.472243130324,1718.9329625884961,-79.60962836398156,434.9149732940222,147.7912636232917
8,10,895.7245854942433,6595.75917608766,2179.0403268390933,-127.24127210805898,742.4511283840365,250.23537907906086
9,10,1071.4656413616763,8397.678937150686,2723.458315608695,-204.33829641800054,1189.9770374859554,400.5782953187518
10,10,1438.733086838081,11297.42134888498,3631.3042631892863,-305.65991829383756,1814.8577006000012,609.5943951614535
11,10,1919.9664678956208,15472.801294100667,4941.269567461407,-441.3183777355559,2658.7821177261394,891.7661308362768
12,10,2417.6056164840948,20119.136360921457,6425.180644276456,-618.4773647431414,3768.1702888642135,1262.5842123021062
13,10,3052.197838353893,26209.47775276948,8365.123439424173,-844.9685993165833,5193.722214013961,1738.9733206833764
14,10,3564.6732136844053,33943.02381180038,10743.115115085513,-1129.3821414559357,6991.087893176141,2339.504852316901
15,10,4162.733026501648,42304.78684150664,13382.202954631923,-1480.9681011611547,9220.137326350265,3084.1659763423518
16,10,5119.186685587236,51341.478282206146,16275.289069896118,-10894.493708432232,90741.485032096,28970.314546313257
17,10,5934.245784029855,61495.50737530973,19522.688625506733,-13921.521773269236,116049.01696592089,37048.16866230148
18,10,6626.934529053948,71215.22387665759,22617.012707761354,-17537.109265672072,146283.19625937147,46698.518841098776
19,10,7093.51232625853,77405.2163411838,24583.146469576484,-19929.91288564077,163210.90591244784,52219.69011998332
20,10,10044.63984028607,107064.28205982955,33961.81578331766,-30621.656363175425,202076.59392515008,67448.39715573213
21,10,12803.648710875439,131094.3078105667,41697.35742696605,-36129.662018275776,223108.381297478,76492.61449265189
22,10,-23321.55494148873,367204.23771182075,126017.09559431628,-40271.5078509421,245230.6070294315,84285.32841199833
23,10,-4901.142154266579,191646.86691065916,81600.17080517282,-45901.41284117433,268452.7171210109,93900.44386910068
24,10,8164.574086548278,118796.53501647379,38805.853016272835,-50789.64320897246,292784.65457221604,102726.91706755762
25,10,17926.929277596286,189290.53425462308,60456.7501175226,-65457.97333433652,353163.1573830469,123561.55933040573
26,10,18862.093833814848,204023.11492448614,65084.89736798165,-58087.798867266414,382630.82755350356,126373.36801275116
