Z,level_config,E_nist_hartree,E_pinn_hartree,E_fac_hartree,ΔE_PINN_meV,ΔE_FAC_meV
26,1s1,-338.0,-330.5022888183594,-341.09582937431117,204023.11492448614,-84241.80885605648
25,1s1,-312.5,-305.543701171875,-315.14266831093005,189290.53425462308,-71910.66812875026
23,1s1,-264.5,-258.16705322265625,-266.388299532838,172328.26083358575,-51383.24793617365
22,1s1,-242.0,-236.3177947998047,-243.57880264101715,154620.6804314762,-42961.40847090356
21,1s1,-220.5,-215.682373046875,-221.8092296157789,131094.3078105667,-35625.95275964583
24,1s1,-288.0,-283.6343078613281,-290.241594037292,118796.53501647379,-60996.88115545556
20,1s1,-200.0,-196.06546020507812,-201.07594521417363,107064.28205982955,-29277.9608024009
19,1s1,-180.5,-177.65541076660156,-181.37544097841317,77405.2163411838,-23821.962599166323
18,1s1,-162.0,-159.3828887939453,-162.70446790092404,71215.22387665759,-19169.548149944567
17,1s1,-144.5,-142.24008178710938,-145.05997431799275,61495.50737530973,-15237.677454734545
