Z,ion_charge,nele,parent_config,level_config,J,parity,term,level_meV,level_eV,has_nist_level,parent_config_id,element,E_nist_hartree,E_fac_hartree,E_pinn_hartree,ΔE_PINN_meV,ΔE_FAC_meV,ΔE_PINN_FAC_meV,E_nist_meV
1,0,1,1s1,1s1,0.5,0,2S,0.0,0.0,True,28115158,H,-0.5,-0.500005926820653,-0.49892494082450867,29.25385046158806,-0.1612770060004331,29.41512746758849,-13605.693122994
1,0,1,1s1,2s1,0.5,0,2S,10204.2698422455,10.2042698422455,True,28115158,H,-0.125,-0.12500197818850586,-0.12606237828731537,-28.90878591548971,-0.05382925150042284,-28.854956663989288,-3401.4232807485
1,0,1,1s1,3s1,0.5,0,2S,12093.949442661333,12.093949442661334,True,28115158,H,-0.05555555555555555,-0.05555626554023472,-0.05356866121292114,54.06614938739335,-0.019319667333522864,54.08546905472687,-1511.7436803326666
1,0,1,1s1,4s1,0.5,0,2S,12755.337302806875,12.755337302806874,True,28115158,H,-0.03125,-0.031223995107021448,-0.033258575946092606,-54.656135873526665,0.707629187124955,-55.363765060651616,-850.355820187125
1,0,1,1s1,5s1,0.5,0,2S,13061.465398074239,13.061465398074239,True,28115158,H,-0.02,-0.020000190805429502,-0.017572933807969093,66.0438355959323,-0.005192080239996359,66.04902767617229,-544.22772491976
1,0,1,1s1,6s1,0.5,0,2S,13227.757202910832,13.227757202910832,True,28115158,H,-0.013888888888888888,-0.013889009092865407,-0.015751607716083527,-50.68716147446708,-0.0032709168333619077,-50.683890557633724,-377.93592008316665
1,0,1,1s1,7s1,0.5,0,2S,13328.025916402286,13.328025916402286,True,28115158,H,-0.01020408163265306,-0.010204165436111846,-0.010516097769141197,-8.4903916049596,-0.002280408285756394,-8.488111196673843,-277.66720659171426
1,0,1,1s1,8s1,0.5,0,2S,13393.104167947218,13.393104167947218,True,28115158,H,-0.0078125,-0.007812563060117675,-0.012679623439908028,-132.4411758302391,-0.0017159532187589971,-132.43945987702034,-212.58895504678125
1,0,1,1s1,9s1,0.5,0,2S,13437.721602957037,13.437721602957037,True,28115158,H,-0.006172839506172839,-0.006172889336895346,-0.013723094947636127,-205.4529170735302,-0.001355963037044789,-205.45156111049315,-167.97152003696294
1,0,1,1s1,10s1,0.5,0,2S,13469.63619176406,13.46963619176406,True,28115158,H,-0.005,-0.005000041408035953,-0.007723012939095497,-74.09695683855057,-0.001126770060010808,-74.09583006849056,-136.05693122994
2,1,1,1s1,1s1,0.5,0,2S,0.0,0.0,True,28115158,He,-2.0,-2.0001040413008884,-1.9887306690216064,306.65411798694487,-2.8311080240084614,309.48522601095334,-54422.772491976
2,1,1,1s1,2s1,0.5,0,2S,40817.079368982,40.817079368982,True,28115158,He,-0.5,-0.5000329338975199,-0.5043324828147888,-117.89286327732383,-0.8961770059999076,-116.99668627132392,-13605.693122994
2,1,1,1s1,3s1,0.5,0,2S,48375.79777064533,48.375797770645335,True,28115158,He,-0.2222222222222222,-0.22223395476191893,-0.22191305458545685,8.412879978781579,-0.31925866933378805,8.732138648115367,-6046.974721330666
2,1,1,1s1,4s1,0.5,0,2S,51021.3492112275,51.021349211227495,True,28115158,He,-0.125,-0.12489987717921201,-0.12403293699026108,26.315125082213466,2.724480748499759,23.590644333713705,-3401.4232807485
2,1,1,1s1,5s1,0.5,0,2S,52245.861592296955,52.245861592296954,True,28115158,He,-0.08,-0.08008717822383304,-0.07785363495349884,58.40556830523109,-2.3722403209601195,60.77780862619122,-2176.91089967904
2,1,1,1s1,6s1,0.5,0,2S,52911.02881164333,52.91102881164333,True,28115158,He,-0.05555555555555555,-0.05560604874450641,-0.05614017695188522,-15.908358623195507,-1.3739896673335208,-14.534368955861986,-1511.7436803326666
2,1,1,1s1,7s1,0.5,0,2S,53312.103665609146,53.31210366560914,True,28115158,He,-0.04081632653061224,-0.040848143124787795,-0.0389779768884182,50.02404216891597,-0.8657736331428246,50.8898158020588,-1110.668826366857
2,1,1,1s1,8s1,0.5,0,2S,53572.41667178887,53.57241667178887,True,28115158,He,-0.03125,-0.03127132415480893,-0.030892135575413704,9.737987081115946,-0.5802598128751096,10.318246893991057,-850.355820187125
2,1,1,1s1,9s1,0.5,0,2S,53750.88641182815,53.75088641182815,True,28115158,He,-0.024691358024691357,-0.024706339909423832,-0.0304991714656353,-158.03865478616626,-0.40767785214826135,-157.63097693401798,-671.8860801478518
2,1,1,1s1,10s1,0.5,0,2S,53878.54476705624,53.87854476705624,True,28115158,He,-0.02,-0.020010924841445146,-0.021893147379159927,-51.515164554900664,-0.2972800802400227,-51.21788447466064,-544.22772491976
3,2,1,1s1,1s1,0.5,0,2S,0.0,0.0,True,28115158,Li,-4.5,-4.50053447821153,-4.4797234535217285,551.752937954973,-14.543893054006757,566.2968310089799,-122451.238106946
3,2,1,1s1,2s1,0.5,0,2S,91838.4285802095,91.8384285802095,True,28115158,Li,-1.125,-1.125167833171828,-1.127769112586975,-75.35139216280642,-4.566973263501045,-70.78441889930538,-30612.8095267365
3,2,1,1s1,3s1,0.5,0,2S,108845.544983952,108.845544983952,True,28115158,Li,-0.5,-0.5000597204784537,-0.500612735748291,-16.67338911347131,-1.6250770059990098,-15.048312107472299,-13605.693122994
3,2,1,1s1,4s1,0.5,0,2S,114798.03572526187,114.79803572526187,True,28115158,Li,-0.28125,-0.2810435304863436,-0.2789249122142792,63.26886179307836,5.618321684125108,57.65054010895325,-7653.202381684125
3,2,1,1s1,5s1,0.5,0,2S,117553.18858266817,117.55318858266817,True,28115158,Li,-0.18,-0.1800148123920816,-0.18095999956130981,-26.12291885878058,-0.40306572215997893,-25.7198531366206,-4898.04952427784
3,2,1,1s1,6s1,0.5,0,2S,119049.8148261975,119.0498148261975,True,28115158,Li,-0.125,-0.1251184702323637,-0.12343274801969528,42.64709898086126,-3.223739251500405,45.87083823236166,-3401.4232807485
3,2,1,1s1,7s1,0.5,0,2S,119952.23324762056,119.95223324762057,True,28115158,Li,-0.09183673469387756,-0.09191144498817104,-0.09351858496665955,-45.76547738059101,-2.0329706745714287,-43.732506706019585,-2499.0048593254287
3,2,1,1s1,8s1,0.5,0,2S,120537.93751152497,120.53793751152497,True,28115158,Li,-0.0703125,-0.0703626027241554,-0.06680499017238617,95.44420468079873,-1.363364578968745,96.80756925976748,-1913.3005954210312
3,2,1,1s1,9s1,0.5,0,2S,120939.49442661334,120.93949442661334,True,28115158,Li,-0.05555555555555555,-0.055590773153757655,-0.05524907633662224,8.339724402763133,-0.9583196673334378,9.298044070096571,-1511.7436803326666
3,2,1,1s1,10s1,0.5,0,2S,121226.72572587655,121.22672572587655,True,28115158,Li,-0.045,-0.045025690309351406,-0.04697206988930702,-53.66275546201622,-0.6990689305400649,-52.96368653147616,-1224.51238106946
4,3,1,1s1,1s1,0.5,0,2S,0.0,0.0,True,28115158,Be,-8.0,-8.001697231874868,-7.969119548797607,840.299885118689,-46.184032096030364,886.4839172147193,-217691.089967904
4,3,1,1s1,2s1,0.5,0,2S,163268.317475928,163.268317475928,True,28115158,Be,-2.0,-2.000531638039063,-1.998732566833496,34.488613434713415,-14.466608024002296,48.95522145871571,-54422.772491976
4,3,1,1s1,3s1,0.5,0,2S,193503.19108258132,193.50319108258134,True,28115158,Be,-0.8888888888888888,-0.8890779830655259,-0.8973793387413025,-231.03691033621965,-5.145514677337551,-225.89139565888212,-24187.898885322666
4,3,1,1s1,4s1,0.5,0,2S,204085.39684491,204.08539684490998,True,28115158,Be,-0.5,-0.4996708171015977,-0.5019768476486206,-53.792764916088466,8.957522993998278,-62.75028791008674,-13605.693122994
4,3,1,1s1,5s1,0.5,0,2S,208983.44636918782,208.98344636918782,True,28115158,Be,-0.32,-0.32038354280041054,-0.3224318325519562,-66.17353485684603,-10.43673128383882,-55.73680357300721,-8707.64359871616
