Z,level_config,E_nist_hartree,E_pinn_hartree,E_fac_hartree,ΔE_PINN_meV,ΔE_FAC_meV
26,1s1,-338.0,-333.0594482421875,-341.09582937431117,134439.2621501309,-84241.80885605648
25,1s1,-312.5,-308.0066833496094,-315.14266831093005,122269.37489930833,-71910.66812875026
24,1s1,-288.0,-283.92291259765625,-290.241594037292,110943.20006382767,-60996.88115545556
23,1s1,-264.5,-260.82305908203125,-266.388299532838,100054.65952252534,-51383.24793617365
22,1s1,-242.0,-238.69679260253906,-243.57880264101715,89884.85234291437,-42961.40847090356
21,1s1,-220.5,-217.5632781982422,-221.8092296157789,79912.27124464564,-35625.95275964583
20,1s1,-200.0,-197.4068603515625,-201.07594521417363,70562.92456341835,-29277.9608024009
19,1s1,-180.5,-178.2190704345703,-181.37544097841317,62067.25540480079,-23821.962599166323
18,1s1,-162.0,-160.0035858154297,-162.70446790092404,54325.19748331195,-19169.548149944567
17,1s1,-144.5,-142.7803955078125,-145.05997431799275,46792.82202725012,-15237.677454734545
