Z,ion_charge,nele,parent_config,level_config,J,parity,term,level_meV,level_eV,has_nist_level,parent_config_id,element,E_nist_hartree,E_fac_hartree,E_pinn_hartree,ΔE_PINN_meV,ΔE_FAC_meV,ΔE_PINN_FAC_meV,E_nist_meV
1,0,1,1s1,1s1,0.5,0,2S,0.0,0.0,True,28115158,H,-0.5,-0.500005926820653,-0.468777596950531,849.6048689070144,-0.1612770060004331,849.7661459130148,-13605.693122994
1,0,1,1s1,2s1,0.5,0,2S,10204.2698422455,10.2042698422455,True,28115158,H,-0.125,-0.12500197818850586,-0.34824880957603455,-6074.9095863305,-0.05382925150042284,-6074.855757079,-3401.4232807485
1,0,1,1s1,3s1,0.5,0,2S,12093.949442661333,12.093949442661334,True,28115158,H,-0.05555555555555555,-0.05555626554023472,-0.18242968618869781,-3452.420973282372,-0.019319667333522864,-3452.401653615039,-1511.7436803326666
1,0,1,1s1,4s1,0.5,0,2S,12755.337302806875,12.755337302806874,True,28115158,H,-0.03125,-0.031223995107021448,-0.08568260818719864,-1481.1867257583908,0.707629187124955,-1481.8943549455157,-850.355820187125
1,0,1,1s1,5s1,0.5,0,2S,13061.465398074239,13.061465398074239,True,28115158,H,-0.02,-0.020000190805429502,-0.044819168746471405,-675.3639870645873,-0.005192080239996359,-675.3587949843472,-544.22772491976
1,0,1,1s1,6s1,0.5,0,2S,13227.757202910832,13.227757202910832,True,28115158,H,-0.013888888888888888,-0.013889009092865407,-0.02515437640249729,-306.54953198215327,-0.0032709168333619077,-306.5462610653199,-377.93592008316665
1,0,1,1s1,7s1,0.5,0,2S,13328.025916402286,13.328025916402286,True,28115158,H,-0.01020408163265306,-0.010204165436111846,-0.018347620964050293,-221.59699415604496,-0.002280408285756394,-221.59471374775922,-277.66720659171426
1,0,1,1s1,8s1,0.5,0,2S,13393.104167947218,13.393104167947218,True,28115158,H,-0.0078125,-0.007812563060117675,-0.01658789999783039,-238.79079880400502,-0.0017159532187589971,-238.78908285078626,-212.58895504678125
1,0,1,1s1,9s1,0.5,0,2S,13437.721602957037,13.437721602957037,True,28115158,H,-0.006172839506172839,-0.006172889336895346,-0.01790926791727543,-319.3644866428998,-0.001355963037044789,-319.36313067986276,-167.97152003696294
1,0,1,1s1,10s1,0.5,0,2S,13469.63619176406,13.46963619176406,True,28115158,H,-0.005,-0.005000041408035953,-0.019593069329857826,-397.09764604924254,-0.001126770060010808,-397.0965192791826,-136.05693122994
2,1,1,1s1,1s1,0.5,0,2S,0.0,0.0,True,28115158,He,-2.0,-2.0001040413008884,-1.9805864095687866,528.270707645164,-2.8311080240084614,531.1018156691724,-54422.772491976
2,1,1,1s1,2s1,0.5,0,2S,40817.079368982,40.817079368982,True,28115158,He,-0.5,-0.5000329338975199,-0.48077279329299927,523.1989481356479,-0.8961770059999076,524.0951251416478,-13605.693122994
2,1,1,1s1,3s1,0.5,0,2S,48375.79777064533,48.375797770645335,True,28115158,He,-0.2222222222222222,-0.22223395476191893,-0.24370191991329193,-584.4923503187548,-0.31925866933378805,-584.173091649421,-6046.974721330666
