Z,N,PINN_mean_meV,PINN_max_abs_meV,PINN_rmse_meV,FAC_mean_meV,FAC_max_abs_meV,FAC_rmse_meV
1,10,-1231.7675861163182,6074.9095863305,2294.6759080206684,0.0458261170615647,0.707629187124955,0.23023229282544974
2,10,-75.70755453259844,584.4923503187548,333.516687538036,-0.7219284317542256,2.8311080240084614,1.5874268856999305
3,10,12.822252292480925,663.8182246676372,327.34153263789455,-2.3798150464455765,14.543893054006757,5.334250155448278
4,10,-28.479453462665408,957.1206559637167,376.68380252282935,-8.285284527016966,46.184032096030364,16.189013200276374
5,10,-1960.4454635483187,20239.70377854198,6410.913153125364,-23.799967573462506,112.98292515004266,39.735064897190135
6,10,-34773.238030181434,348599.84955720796,110237.63998143107,-43.30642918577597,234.57057221595244,80.17177914172987
7,10,-1358.1637294899278,14600.542998564484,4632.963493961831,-79.60962836398156,434.9149732940222,147.7912636232917
8,10,-76.02177925650896,1762.0593319917539,664.9317321467132,-127.24127210805898,742.4511283840365,250.23537907906086
9,10,389.6641609416535,2937.111563988611,996.4619271088703,-204.33829641800054,1189.9770374859554,400.5782953187518
10,10,631.932440897372,5681.46058426537,1831.3028306805975,-305.65991829383756,1814.8577006000012,609.5943951614535
11,10,1048.8305444670757,10305.477962934276,3285.3880029956485,-441.3183777355559,2658.7821177261394,891.7661308362768
12,10,1252.731126124002,13190.06510736543,4209.122906486997,-618.4773647431414,3768.1702888642135,1262.5842123021062
13,10,1550.6525882125768,17306.692440981275,5533.291205592398,-844.9685993165833,5193.722214013961,1738.9733206833764
14,10,1871.6590672200412,22026.83158350434,7059.104029172466,-1129.3821414559357,6991.087893176141,2339.504852316901
15,10,2203.3775460071893,27404.667805703386,8803.515263634858,-1480.9681011611547,9220.137326350265,3084.1659763423518
16,10,2527.2360100426276,33461.169354121106,10775.176507783443,-10894.493708432232,90741.485032096,28970.314546313257
17,10,2827.167183589527,40211.28388965924,12982.686648857958,-13921.521773269236,116049.01696592089,37048.16866230148
18,10,3456.8327884597156,52069.76153836251,16665.508434678875,-17537.109265672072,146283.19625937147,46698.518841098776
19,10,4104.289609205274,57362.47913598227,18263.35084439378,-19929.91288564077,163210.90591244784,52219.69011998332
20,10,3376.5395648560907,67401.49428270312,21729.368758558714,-30621.656363175425,202076.59392515008,67448.39715573213
21,10,2404.7835496556145,77266.12005223717,25196.35150033854,-36129.662018275776,223108.381297478,76492.61449265189
22,10,1521.1162241589063,87646.02491007796,28831.903730390044,-40271.5078509421,245230.6070294315,84285.32841199833
23,10,1163.4430684061558,97381.51949793319,32316.62099735248,-45901.41284117433,268452.7171210109,93900.44386910068
24,10,-24.520752792881375,108289.99025377116,36878.505583632366,-50789.64320897246,292784.65457221604,102726.91706755762
25,10,-3059.1305431150477,119731.59424843737,43532.64138944063,-65457.97333433652,353163.1573830469,123561.55933040573
26,10,-9557.639520796602,131761.13957190485,57596.39798942358,-58087.798867266414,382630.82755350356,126373.36801275116
