Z,level_config,E_nist_hartree,E_pinn_hartree,E_fac_hartree,ΔE_PINN_meV,ΔE_FAC_meV
26,1s1,-338.0,-333.1578674316406,-341.09582937431117,131761.13957190485,-84241.80885605648
25,1s1,-312.5,-308.0999450683594,-315.14266831093005,119731.59424843737,-71910.66812875026
24,1s1,-288.0,-284.0204162597656,-290.241594037292,108289.99025377116,-60996.88115545556
23,1s1,-264.5,-260.9212951660156,-266.388299532838,97381.51949793319,-51383.24793617365
22,1s1,-242.0,-238.77906799316406,-243.57880264101715,87646.02491007796,-42961.40847090356
21,1s1,-220.5,-217.6605224609375,-221.8092296157789,77266.12005223717,-35625.95275964583
20,1s1,-200.0,-197.52304077148438,-201.07594521417363,67401.49428270312,-29277.9608024009
19,1s1,-180.5,-178.3919677734375,-181.37544097841317,57362.47913598227,-23821.962599166323
18,1s1,-162.0,-160.0864715576172,-162.70446790092404,52069.76153836251,-19169.548149944567
17,1s1,-144.5,-143.0222625732422,-145.05997431799275,40211.28388965924,-15237.677454734545
