Z,ion_charge,nele,parent_config,level_config,J,parity,term,level_meV,level_eV,has_nist_level,parent_config_id,element,E_nist_hartree,E_fac_hartree,E_pinn_hartree,ΔE_PINN_meV,ΔE_FAC_meV,ΔE_PINN_FAC_meV,E_nist_meV
1,0,1,1s1,1s1,0.5,0,2S,0.0,0.0,True,28115158,H,-0.5,-0.500005926820653,-0.4976102113723755,65.02946139256018,-0.1612770060004331,65.19073839856061,-13605.693122994
1,0,1,1s1,2s1,0.5,0,2S,10204.2698422455,10.2042698422455,True,28115158,H,-0.125,-0.12500197818850586,-0.12153201550245285,94.36866565785411,-0.05382925150042284,94.42249490935454,-3401.4232807485
1,0,1,1s1,3s1,0.5,0,2S,12093.949442661333,12.093949442661334,True,28115158,H,-0.05555555555555555,-0.05555626554023472,-0.06389924138784409,-227.04325789758113,-0.019319667333522864,-227.0239382302476,-1511.7436803326666
1,0,1,1s1,4s1,0.5,0,2S,12755.337302806875,12.755337302806874,True,28115158,H,-0.03125,-0.031223995107021448,-0.03043193556368351,22.260667350714467,0.707629187124955,21.553038163589513,-850.355820187125
1,0,1,1s1,5s1,0.5,0,2S,13061.465398074239,13.061465398074239,True,28115158,H,-0.02,-0.020000190805429502,-0.013513660989701748,176.5022761316453,-0.005192080239996359,176.50746821188528,-544.22772491976
1,0,1,1s1,6s1,0.5,0,2S,13227.757202910832,13.227757202910832,True,28115158,H,-0.013888888888888888,-0.013889009092865407,-0.01717374660074711,-89.38553196048639,-0.0032709168333619077,-89.38226104365303,-377.93592008316665
1,0,1,1s1,7s1,0.5,0,2S,13328.025916402286,13.328025916402286,True,28115158,H,-0.01020408163265306,-0.010204165436111846,-0.021150171756744385,-297.85828625004376,-0.002280408285756394,-297.85600584175796,-277.66720659171426
1,0,1,1s1,8s1,0.5,0,2S,13393.104167947218,13.393104167947218,True,28115158,H,-0.0078125,-0.007812563060117675,-0.03259781748056412,-674.4428471930684,-0.0017159532187589971,-674.4411312398496,-212.58895504678125
1,0,1,1s1,9s1,0.5,0,2S,13437.721602957037,13.437721602957037,True,28115158,H,-0.006172839506172839,-0.006172889336895346,-0.03130633756518364,-683.9173233965325,-0.001355963037044789,-683.9159674334956,-167.97152003696294
1,0,1,1s1,10s1,0.5,0,2S,13469.63619176406,13.46963619176406,True,28115158,H,-0.005,-0.005000041408035953,-0.03836957365274429,-908.0323575287697,-0.001126770060010808,-908.0312307587095,-136.05693122994
