Z,N,PINN_mean_meV,PINN_max_abs_meV,PINN_rmse_meV,FAC_mean_meV,FAC_max_abs_meV,FAC_rmse_meV
1,10,-252.2518533693708,908.0323575287697,440.474705443689,0.0458261170615647,0.707629187124955,0.23023229282544974
2,10,-214.56061554975503,1007.1567262788637,379.1766750672944,-0.7219284317542256,2.8311080240084614,1.5874268856999305
3,10,-181.81017835350286,399.291986917395,229.42858359507144,-2.3798150464455765,14.543893054006757,5.334250155448278
4,10,-18.102701627046088,447.6285960963514,219.48205011242516,-8.285284527016966,46.184032096030364,16.189013200276374
5,10,94.16453749689856,405.6272260105097,215.79386792566925,-23.799967573462506,112.98292515004266,39.735064897190135
6,10,287.5551904609661,1057.3296708456924,522.2546688274266,-43.30642918577597,234.57057221595244,80.17177914172987
7,10,407.6237187840725,1557.4279014769081,671.230610700127,-79.60962836398156,434.9149732940222,147.7912636232917
8,10,331.8038850102123,1402.2832051877244,690.0333427339602,-127.24127210805898,742.4511283840365,250.23537907906086
9,10,297.5835043487456,1241.6484729500803,768.0437004803781,-204.33829641800054,1189.9770374859554,400.5782953187518
10,10,354.8945114194811,1841.617997633193,921.5272296970396,-305.65991829383756,1814.8577006000012,609.5943951614535
11,10,322.59529302215765,2402.421277149758,1183.7183314092254,-441.3183777355559,2658.7821177261394,891.7661308362768
12,10,164.23227357118682,3553.806379385548,1524.769686569984,-618.4773647431414,3768.1702888642135,1262.5842123021062
13,10,257.7071685533934,2966.4878697885324,1511.0995734364185,-844.9685993165833,5193.722214013961,1738.9733206833764
14,10,-273.3330294502747,5182.6862048709445,1980.289851875032,-1129.3821414559357,6991.087893176141,2339.504852316901
15,10,-1456.5958275958815,16701.727387264164,5412.471881414395,-1480.9681011611547,9220.137326350265,3084.1659763423518
16,10,-4660.487842028668,45926.68812055561,14728.19098787028,-10894.493708432232,90741.485032096,28970.314546313257
17,10,-3454.5237309007307,24571.04803281909,8992.77753239382,-13921.521773269236,116049.01696592089,37048.16866230148
18,10,-1386644.3194854103,13864221.222545423,4384252.758901746,-17537.109265672072,146283.19625937147,46698.518841098776
19,10,-1950.7505847775042,20163.979343626637,6923.602097288074,-19929.91288564077,163210.90591244784,52219.69011998332
20,10,-2671.3712955481683,18983.11413239022,7475.964607777238,-30621.656363175425,202076.59392515008,67448.39715573213
21,10,-16543.151029245193,141533.58809921157,45398.40831157753,-36129.662018275776,223108.381297478,76492.61449265189
22,10,-45070.33278388075,412030.6119048881,130790.32835953071,-40271.5078509421,245230.6070294315,84285.32841199833
23,10,-11647.456195118848,85917.49401191439,28494.654928656517,-45901.41284117433,268452.7171210109,93900.44386910068
24,10,-63403.95176895372,590469.9747704632,187034.49414573406,-50789.64320897246,292784.65457221604,102726.91706755762
25,10,-12880.709125316127,68914.52973620014,25787.854533691137,-65457.97333433652,353163.1573830469,123561.55933040573
26,10,-15895.545707399433,85013.99095296556,31776.51009828502,-58087.798867266414,382630.82755350356,126373.36801275116
