Z,level_config,E_nist_hartree,E_pinn_hartree,E_fac_hartree,ΔE_PINN_meV,ΔE_FAC_meV
20,7s1,-4.081632653061225,-3.970790147781372,-4.095892689643209,3016.178223643031,-388.03536331430456
25,8s1,-4.8828125,-4.775949478149414,-4.904674895777408,2907.8909629897494,-594.9060957617003
21,7s1,-4.5,-4.3955607414245605,-4.516997255813169,2841.9370043408976,-462.518893054001
24,8s1,-4.5,-4.39663553237915,-4.518785992320747,2812.690452541859,-511.19289305400395
20,8s1,-3.125,-3.0228073596954346,-3.1346622964707014,2780.8034068248508,-262.924481287502
19,7s1,-3.683673469387755,-3.581818103790283,-3.6955514905024938,2771.6256944991255,-323.21742039115514
26,8s1,-5.28125,-5.183984279632568,-5.303078156162513,2646.7350854124443,-593.9743883758932
22,7s1,-4.938775510204081,-4.842202663421631,-4.958900799105563,2627.8810346718797,-547.6370096103107
23,8s1,-4.1328125,-4.03645133972168,-4.148867646044503,2622.1207514449306,-436.88278025272604
13,4s1,-5.28125,-5.186986446380615,-5.297915795129888,2565.041966456479,-453.49938837588434
